centre_id,region,milieu,type,remoteness,enrol
P00631,Tambacounda,rural,prive,0.75,59
P00632,Dakar,urbain,prive,0.05,40
P00633,Dakar,urbain,CTP,0.05,59
P00634,Dakar,rural,CTP,0.05,46
P00635,Saint-Louis,urbain,CTP,0.35,26
P00636,Tambacounda,rural,public,0.75,122
P00637,Kaolack,urbain,public,0.3,92
P00638,Kaffrine,rural,public,0.55,54
P00639,Louga,rural,public,0.45,61
P00640,Sédhiou,rural,CTP,0.7,34
P00641,Thiès,rural,public,0.15,128
P00642,Dakar,rural,CTP,0.05,34
P00643,Dakar,urbain,prive,0.05,72
P00644,Tambacounda,rural,public,0.75,63
P00645,Dakar,urbain,CTP,0.05,25
P00646,Dakar,urbain,public,0.05,58
P00647,Louga,rural,public,0.45,106
P00648,Sédhiou,urbain,public,0.7,54
P00649,Thiès,urbain,CTP,0.15,33
P00650,Dakar,urbain,public,0.05,105
P00651,Diourbel,urbain,prive,0.3,99
P00652,Dakar,urbain,CTP,0.05,48
P00653,Dakar,rural,CTP,0.05,36
P00654,Dakar,rural,CTP,0.05,28
P00655,Thiès,urbain,public,0.15,110
P00656,Thiès,urbain,public,0.15,55
P00657,Kaolack,urbain,public,0.3,112
P00658,Kaolack,urbain,public,0.3,51
P00659,Matam,rural,CTP,0.65,30
P00660,Kaolack,urbain,prive,0.3,78
P00661,Dakar,urbain,CTP,0.05,57
P00662,Sédhiou,urbain,public,0.7,44
P00663,Thiès,urbain,CTP,0.15,70
P00664,Dakar,urbain,prive,0.05,36
P00665,Dakar,urbain,public,0.05,89
P00666,Diourbel,rural,public,0.3,53
P00667,Kaolack,urbain,CTP,0.3,12
P00668,Kaolack,urbain,public,0.3,49
P00669,Dakar,urbain,public,0.05,35
P00670,Thiès,urbain,public,0.15,46
P00671,Thiès,urbain,CTP,0.15,53
P00672,Thiès,urbain,public,0.15,38
P00673,Tambacounda,urbain,CTP,0.75,63
P00674,Dakar,rural,CTP,0.05,52
P00675,Kolda,urbain,public,0.7,130
P00676,Ziguinchor,rural,public,0.55,57
P00677,Thiès,urbain,CTP,0.15,38
P00678,Louga,urbain,CTP,0.45,54
P00679,Kolda,rural,public,0.7,120
P00680,Kolda,urbain,prive,0.7,71
P00681,Tambacounda,rural,public,0.75,46
P00682,Diourbel,rural,prive,0.3,86
P00683,Dakar,urbain,CTP,0.05,18
P00684,Kolda,rural,prive,0.7,71
P00685,Thiès,urbain,CTP,0.15,44
P00686,Saint-Louis,urbain,public,0.35,38
P00687,Dakar,urbain,prive,0.05,72
P00688,Kaffrine,rural,CTP,0.55,77
P00689,Kédougou,urbain,public,0.9,63
P00690,Kaolack,rural,CTP,0.3,109
P00691,Thiès,urbain,CTP,0.15,64
P00692,Thiès,urbain,public,0.15,66
P00693,Thiès,rural,CTP,0.15,22
P00694,Kolda,rural,CTP,0.7,36
P00695,Louga,rural,CTP,0.45,64
P00696,Ziguinchor,rural,CTP,0.55,42
P00697,Fatick,rural,CTP,0.4,28
P00698,Diourbel,rural,CTP,0.3,42
P00699,Kolda,rural,public,0.7,98
P00700,Thiès,rural,CTP,0.15,39
P00701,Dakar,urbain,CTP,0.05,30
P00702,Kaolack,rural,CTP,0.3,25
P00703,Kaolack,rural,public,0.3,94
P00704,Thiès,urbain,CTP,0.15,40
P00705,Thiès,rural,public,0.15,62
P00706,Saint-Louis,rural,public,0.35,39
P00707,Diourbel,urbain,CTP,0.3,35
P00708,Kaffrine,rural,public,0.55,38
P00709,Kaffrine,rural,public,0.55,51
P00710,Dakar,urbain,CTP,0.05,27
P00711,Thiès,rural,public,0.15,88
P00712,Kolda,rural,CTP,0.7,35
P00713,Saint-Louis,urbain,CTP,0.35,38
P00714,Louga,urbain,CTP,0.45,50
P00715,Saint-Louis,urbain,CTP,0.35,65
P00716,Ziguinchor,rural,public,0.55,67
P00717,Ziguinchor,urbain,public,0.55,54
P00718,Kaolack,urbain,CTP,0.3,79
P00719,Diourbel,rural,CTP,0.3,28
P00720,Thiès,rural,public,0.15,75
P00721,Kédougou,rural,public,0.9,92
P00722,Kaffrine,rural,CTP,0.55,26
P00723,Dakar,rural,prive,0.05,51
P00724,Saint-Louis,urbain,public,0.35,32
P00725,Matam,rural,public,0.65,101
P00726,Dakar,rural,CTP,0.05,24
P00727,Thiès,rural,public,0.15,145
P00728,Dakar,urbain,public,0.05,59
P00729,Thiès,rural,CTP,0.15,48
P00730,Saint-Louis,rural,CTP,0.35,28
P00731,Dakar,urbain,CTP,0.05,47
P00732,Diourbel,urbain,CTP,0.3,40
P00733,Kaolack,urbain,CTP,0.3,61
P00734,Kaffrine,rural,public,0.55,50
P00735,Fatick,urbain,public,0.4,58
P00736,Dakar,urbain,public,0.05,34
P00737,Dakar,rural,public,0.05,33
P00738,Matam,rural,public,0.65,67
P00739,Thiès,urbain,public,0.15,69
P00740,Thiès,rural,public,0.15,65
P00741,Diourbel,urbain,CTP,0.3,26
P00742,Thiès,urbain,CTP,0.15,87
P00743,Thiès,rural,CTP,0.15,45
P00744,Saint-Louis,urbain,CTP,0.35,18
P00745,Saint-Louis,rural,CTP,0.35,61
P00746,Dakar,urbain,public,0.05,31
P00747,Louga,urbain,CTP,0.45,24
P00748,Ziguinchor,urbain,public,0.55,31
P00749,Diourbel,urbain,prive,0.3,107
P00750,Louga,rural,public,0.45,35
P00751,Kaolack,urbain,public,0.3,82
P00752,Kaolack,rural,public,0.3,56
P00753,Diourbel,urbain,prive,0.3,34
P00754,Dakar,urbain,CTP,0.05,39
P00755,Dakar,urbain,public,0.05,45
P00756,Thiès,urbain,CTP,0.15,29
P00757,Diourbel,rural,prive,0.3,57
P00758,Thiès,rural,CTP,0.15,36
P00759,Diourbel,urbain,prive,0.3,64
P00760,Fatick,rural,public,0.4,24
P00761,Kaffrine,rural,CTP,0.55,33
P00762,Fatick,urbain,public,0.4,59
P00763,Fatick,rural,CTP,0.4,52
P00764,Thiès,rural,CTP,0.15,40
P00765,Matam,rural,public,0.65,74
P00766,Diourbel,urbain,public,0.3,85
P00767,Saint-Louis,urbain,CTP,0.35,36
P00768,Fatick,rural,public,0.4,117
P00769,Louga,urbain,public,0.45,76
P00770,Thiès,rural,public,0.15,119
P00771,Tambacounda,rural,public,0.75,44
P00772,Sédhiou,rural,CTP,0.7,29
P00773,Dakar,rural,public,0.05,85
P00774,Louga,rural,CTP,0.45,22
P00775,Saint-Louis,urbain,public,0.35,51
P00776,Kolda,rural,public,0.7,74
P00777,Kolda,rural,CTP,0.7,49
P00778,Kaolack,urbain,public,0.3,66
P00779,Kolda,rural,public,0.7,28
P00780,Diourbel,rural,CTP,0.3,42
P00781,Diourbel,rural,CTP,0.3,24
P00782,Dakar,rural,public,0.05,152
P00783,Tambacounda,rural,CTP,0.75,45
P00784,Dakar,urbain,prive,0.05,64
P00785,Thiès,urbain,prive,0.15,56
P00786,Thiès,rural,CTP,0.15,51
P00787,Thiès,urbain,public,0.15,47
P00788,Tambacounda,urbain,public,0.75,51
P00789,Tambacounda,rural,CTP,0.75,82
P00790,Dakar,urbain,public,0.05,76
P00791,Saint-Louis,urbain,public,0.35,67
P00792,Diourbel,rural,CTP,0.3,21
P00793,Thiès,urbain,prive,0.15,60
P00794,Diourbel,urbain,prive,0.3,114
P00795,Louga,rural,CTP,0.45,30
P00796,Dakar,rural,CTP,0.05,75
P00797,Kaffrine,rural,public,0.55,81
P00798,Thiès,urbain,prive,0.15,102
P00799,Fatick,urbain,public,0.4,21
P00800,Thiès,urbain,public,0.15,114
P00801,Diourbel,urbain,CTP,0.3,58
P00802,Saint-Louis,urbain,CTP,0.35,62
P00803,Tambacounda,rural,public,0.75,45
P00804,Saint-Louis,rural,CTP,0.35,28
P00805,Kaffrine,rural,public,0.55,62
P00806,Louga,rural,CTP,0.45,30
P00807,Diourbel,urbain,prive,0.3,63
P00808,Tambacounda,rural,prive,0.75,39
P00809,Kolda,rural,CTP,0.7,57
P00810,Dakar,rural,public,0.05,70
P00811,Fatick,urbain,prive,0.4,33
P00812,Ziguinchor,urbain,CTP,0.55,39
P00813,Thiès,urbain,CTP,0.15,29
P00814,Tambacounda,rural,CTP,0.75,23
P00815,Diourbel,rural,public,0.3,112
P00816,Thiès,urbain,CTP,0.15,31
P00817,Dakar,rural,CTP,0.05,76
P00818,Kédougou,rural,public,0.9,51
P00819,Diourbel,urbain,prive,0.3,136
P00820,Kolda,rural,CTP,0.7,29
P00821,Thiès,urbain,prive,0.15,46
P00822,Ziguinchor,rural,public,0.55,54
P00823,Thiès,rural,CTP,0.15,32
P00824,Dakar,urbain,prive,0.05,48
P00825,Dakar,rural,CTP,0.05,41
P00826,Kaolack,urbain,CTP,0.3,52
P00827,Saint-Louis,rural,public,0.35,77
P00828,Fatick,rural,public,0.4,53
P00829,Fatick,rural,CTP,0.4,55
P00830,Saint-Louis,urbain,CTP,0.35,41
P00831,Thiès,rural,CTP,0.15,18
P00832,Thiès,rural,public,0.15,120
P00833,Fatick,rural,CTP,0.4,48
P00834,Kaolack,urbain,CTP,0.3,28
P00835,Dakar,urbain,prive,0.05,86
P00836,Dakar,urbain,prive,0.05,141
P00837,Dakar,rural,CTP,0.05,67
P00838,Thiès,rural,public,0.15,44
P00839,Saint-Louis,rural,CTP,0.35,20
P00840,Kaolack,rural,CTP,0.3,40
P00841,Diourbel,rural,public,0.3,69
P00842,Fatick,rural,CTP,0.4,36
P00843,Tambacounda,rural,public,0.75,44
P00844,Dakar,urbain,public,0.05,63
P00845,Dakar,urbain,public,0.05,37
P00846,Dakar,urbain,prive,0.05,68
P00847,Tambacounda,rural,CTP,0.75,44
P00848,Saint-Louis,rural,public,0.35,93
P00849,Dakar,urbain,prive,0.05,34
P00850,Ziguinchor,urbain,public,0.55,86
P00851,Dakar,urbain,prive,0.05,52
P00852,Tambacounda,urbain,public,0.75,60
P00853,Kolda,rural,CTP,0.7,53
P00854,Tambacounda,rural,prive,0.75,82
P00855,Saint-Louis,rural,CTP,0.35,33
P00856,Fatick,urbain,public,0.4,61
P00857,Dakar,urbain,prive,0.05,28
P00858,Kaolack,urbain,prive,0.3,40
P00859,Tambacounda,rural,CTP,0.75,18
P00860,Diourbel,rural,CTP,0.3,40
P00861,Saint-Louis,urbain,prive,0.35,77
P00862,Ziguinchor,urbain,CTP,0.55,45
P00863,Thiès,urbain,public,0.15,57
P00864,Saint-Louis,urbain,public,0.35,121
P00865,Ziguinchor,rural,CTP,0.55,22
P00866,Dakar,rural,public,0.05,58
P00867,Diourbel,urbain,CTP,0.3,42
P00868,Tambacounda,rural,CTP,0.75,38
P00869,Ziguinchor,rural,public,0.55,55
P00870,Sédhiou,rural,public,0.7,62
P00871,Dakar,urbain,public,0.05,46
P00872,Fatick,urbain,prive,0.4,80
P00873,Kaffrine,urbain,prive,0.55,47
P00874,Diourbel,rural,public,0.3,63
P00875,Dakar,urbain,prive,0.05,31
P00876,Kaffrine,rural,CTP,0.55,72
P00877,Thiès,urbain,prive,0.15,50
P00878,Dakar,urbain,CTP,0.05,58
P00879,Tambacounda,rural,CTP,0.75,35
P00880,Thiès,urbain,public,0.15,40
P00881,Thiès,rural,CTP,0.15,24
P00882,Fatick,urbain,prive,0.4,48
P00883,Diourbel,urbain,prive,0.3,48
P00884,Dakar,rural,public,0.05,64
P00885,Diourbel,urbain,prive,0.3,27
P00886,Kaffrine,rural,public,0.55,96
P00887,Kaffrine,rural,public,0.55,37
P00888,Kolda,rural,CTP,0.7,44
P00889,Kolda,rural,public,0.7,76
P00890,Dakar,rural,public,0.05,31
P00891,Dakar,rural,CTP,0.05,29
P00892,Diourbel,urbain,CTP,0.3,79
P00893,Tambacounda,rural,prive,0.75,60
P00894,Dakar,urbain,prive,0.05,27
P00895,Dakar,urbain,prive,0.05,82
P00896,Saint-Louis,rural,CTP,0.35,38
P00897,Ziguinchor,rural,public,0.55,78
P00898,Dakar,urbain,CTP,0.05,34
P00899,Dakar,urbain,public,0.05,90
P00900,Saint-Louis,urbain,prive,0.35,106
P00901,Dakar,urbain,prive,0.05,42
P00902,Dakar,rural,public,0.05,131
P00903,Kaffrine,rural,public,0.55,92
P00904,Dakar,rural,CTP,0.05,57
P00905,Kédougou,rural,public,0.9,51
P00906,Kaolack,urbain,CTP,0.3,68
P00907,Kaolack,rural,public,0.3,75
P00908,Diourbel,urbain,CTP,0.3,49
P00909,Kédougou,rural,public,0.9,70
P00910,Fatick,urbain,CTP,0.4,72
P00911,Saint-Louis,rural,public,0.35,46
P00912,Dakar,urbain,prive,0.05,37
P00913,Dakar,urbain,public,0.05,55
P00914,Thiès,urbain,public,0.15,75
P00915,Matam,urbain,public,0.65,88
P00916,Kaolack,rural,CTP,0.3,16
P00917,Thiès,urbain,CTP,0.15,58
P00918,Louga,rural,public,0.45,29
P00919,Kaffrine,urbain,CTP,0.55,38
P00920,Kolda,urbain,prive,0.7,75
P00921,Kaffrine,urbain,public,0.55,62
P00922,Saint-Louis,rural,CTP,0.35,26
P00923,Saint-Louis,urbain,CTP,0.35,47
P00924,Thiès,urbain,public,0.15,62
P00925,Dakar,urbain,public,0.05,51
P00926,Matam,rural,CTP,0.65,33
P00927,Thiès,urbain,CTP,0.15,47
P00928,Thiès,urbain,public,0.15,47
P00929,Dakar,urbain,public,0.05,67
P00930,Sédhiou,urbain,public,0.7,61
P00931,Kolda,rural,public,0.7,107
P00932,Saint-Louis,rural,CTP,0.35,34
P00933,Diourbel,rural,public,0.3,34
P00934,Kaolack,urbain,CTP,0.3,25
P00935,Sédhiou,urbain,public,0.7,130
P00936,Ziguinchor,rural,public,0.55,84
P00937,Kolda,rural,public,0.7,105
P00938,Dakar,urbain,public,0.05,37
P00939,Thiès,urbain,public,0.15,84
P00940,Dakar,urbain,public,0.05,45
P00941,Thiès,urbain,public,0.15,66
P00942,Dakar,urbain,CTP,0.05,68
P00943,Dakar,rural,CTP,0.05,52
P00944,Louga,urbain,CTP,0.45,20
P00945,Saint-Louis,urbain,public,0.35,42
P00946,Thiès,urbain,CTP,0.15,83
P00947,Kaolack,urbain,CTP,0.3,43
P00948,Thiès,urbain,public,0.15,170
P00949,Dakar,urbain,CTP,0.05,50
P00950,Kaolack,urbain,public,0.3,37
P00951,Kolda,rural,CTP,0.7,30
P00952,Kaolack,rural,CTP,0.3,35
P00953,Kédougou,rural,CTP,0.9,45
P00954,Dakar,urbain,prive,0.05,60
P00955,Thiès,urbain,CTP,0.15,49
P00956,Diourbel,rural,CTP,0.3,43
P00957,Kolda,rural,CTP,0.7,44
P00958,Kaffrine,rural,CTP,0.55,91
P00959,Dakar,urbain,CTP,0.05,40
P00960,Kolda,rural,public,0.7,51
P00961,Dakar,urbain,CTP,0.05,51
P00962,Kaffrine,rural,prive,0.55,51
P00963,Dakar,urbain,prive,0.05,79
P00964,Thiès,rural,public,0.15,34
P00965,Kédougou,urbain,public,0.9,83
P00966,Kolda,urbain,CTP,0.7,29
P00967,Dakar,rural,public,0.05,60
P00968,Saint-Louis,rural,CTP,0.35,88
P00969,Saint-Louis,urbain,CTP,0.35,37
P00970,Kolda,rural,public,0.7,92
P00971,Dakar,rural,CTP,0.05,37
P00972,Dakar,urbain,public,0.05,36
P00973,Thiès,rural,public,0.15,26
P00974,Sédhiou,rural,public,0.7,82
P00975,Dakar,rural,public,0.05,56
P00976,Dakar,urbain,CTP,0.05,90
P00977,Louga,urbain,public,0.45,68
P00978,Thiès,urbain,CTP,0.15,54
P00979,Diourbel,urbain,CTP,0.3,84
P00980,Fatick,rural,CTP,0.4,11
P00981,Dakar,urbain,prive,0.05,53
P00982,Sédhiou,rural,public,0.7,45
P00983,Kaolack,urbain,public,0.3,80
P00984,Ziguinchor,rural,CTP,0.55,26
P00985,Matam,rural,public,0.65,74
P00986,Saint-Louis,urbain,CTP,0.35,37
P00987,Dakar,urbain,prive,0.05,15
P00988,Dakar,rural,public,0.05,81
P00989,Thiès,rural,CTP,0.15,50
P00990,Fatick,rural,CTP,0.4,31
P00991,Fatick,urbain,prive,0.4,46
P00992,Kaolack,urbain,prive,0.3,54
P00993,Thiès,urbain,public,0.15,82
P00994,Dakar,rural,CTP,0.05,43
P00995,Ziguinchor,rural,CTP,0.55,65
P00996,Tambacounda,urbain,public,0.75,75
P00997,Diourbel,urbain,CTP,0.3,26
P00998,Dakar,rural,prive,0.05,63
P00999,Thiès,rural,prive,0.15,27
P01000,Matam,rural,prive,0.65,38
P01001,Dakar,rural,public,0.05,41
P01002,Thiès,urbain,CTP,0.15,53
P01003,Dakar,urbain,CTP,0.05,93
P01004,Ziguinchor,rural,CTP,0.55,31
P01005,Kaolack,rural,public,0.3,75
P01006,Sédhiou,rural,CTP,0.7,35
P01007,Kaolack,rural,CTP,0.3,35
P01008,Louga,urbain,CTP,0.45,18
P01009,Dakar,urbain,CTP,0.05,33
P01010,Dakar,rural,public,0.05,82
P01011,Fatick,urbain,CTP,0.4,23
P01012,Kaffrine,urbain,CTP,0.55,25
P01013,Diourbel,urbain,prive,0.3,59
P01014,Kolda,urbain,public,0.7,54
P01015,Kaffrine,rural,CTP,0.55,36
P01016,Sédhiou,rural,CTP,0.7,15
P01017,Diourbel,urbain,CTP,0.3,54
P01018,Thiès,urbain,CTP,0.15,71
P01019,Louga,rural,CTP,0.45,31
P01020,Diourbel,urbain,public,0.3,46
P01021,Thiès,rural,CTP,0.15,78
P01022,Saint-Louis,rural,public,0.35,62
P01023,Saint-Louis,urbain,public,0.35,91
P01024,Fatick,rural,public,0.4,38
P01025,Kaffrine,rural,public,0.55,61
P01026,Tambacounda,rural,CTP,0.75,42
P01027,Matam,urbain,public,0.65,74
P01028,Thiès,urbain,public,0.15,81
P01029,Saint-Louis,rural,CTP,0.35,31
P01030,Kaffrine,rural,CTP,0.55,52
P01031,Dakar,urbain,prive,0.05,65
P01032,Dakar,urbain,public,0.05,28
P01033,Fatick,urbain,CTP,0.4,49
P01034,Dakar,urbain,CTP,0.05,48
P01035,Fatick,rural,CTP,0.4,47
P01036,Thiès,urbain,public,0.15,69
P01037,Dakar,rural,CTP,0.05,41
P01038,Thiès,rural,public,0.15,83
P01039,Louga,rural,CTP,0.45,22
P01040,Thiès,rural,public,0.15,110
P01041,Ziguinchor,rural,public,0.55,65
P01042,Kaolack,urbain,CTP,0.3,55
P01043,Matam,urbain,public,0.65,68
P01044,Matam,rural,public,0.65,29
P01045,Fatick,rural,prive,0.4,78
P01046,Ziguinchor,urbain,CTP,0.55,28
P01047,Thiès,rural,CTP,0.15,55
P01048,Louga,rural,public,0.45,67
P01049,Diourbel,urbain,prive,0.3,50
P01050,Tambacounda,rural,CTP,0.75,61
P01051,Saint-Louis,rural,CTP,0.35,26
P01052,Matam,rural,CTP,0.65,40
P01053,Fatick,urbain,public,0.4,45
P01054,Kaolack,urbain,CTP,0.3,62
P01055,Fatick,urbain,CTP,0.4,59
P01056,Thiès,urbain,CTP,0.15,35
P01057,Thiès,urbain,CTP,0.15,74
P01058,Fatick,rural,CTP,0.4,105
P01059,Diourbel,urbain,public,0.3,78
P01060,Kaffrine,rural,CTP,0.55,53
P01061,Matam,rural,CTP,0.65,58
P01062,Ziguinchor,rural,public,0.55,81
P01063,Louga,rural,CTP,0.45,47
P01064,Diourbel,urbain,public,0.3,51
P01065,Kolda,rural,CTP,0.7,28
P01066,Dakar,urbain,public,0.05,64
P01067,Louga,urbain,CTP,0.45,74
P01068,Kaffrine,urbain,CTP,0.55,33
P01069,Saint-Louis,urbain,public,0.35,42
P01070,Tambacounda,urbain,CTP,0.75,30
P01071,Diourbel,urbain,CTP,0.3,72
P01072,Dakar,urbain,CTP,0.05,31
P01073,Dakar,urbain,CTP,0.05,29
P01074,Fatick,rural,CTP,0.4,19
P01075,Diourbel,urbain,public,0.3,131
P01076,Dakar,urbain,prive,0.05,37
P01077,Thiès,rural,public,0.15,96
P01078,Dakar,urbain,public,0.05,100
P01079,Tambacounda,rural,CTP,0.75,31
P01080,Tambacounda,rural,CTP,0.75,48
P01081,Saint-Louis,rural,CTP,0.35,32
P01082,Dakar,rural,CTP,0.05,26
P01083,Tambacounda,rural,public,0.75,98
P01084,Diourbel,rural,CTP,0.3,45
P01085,Kaolack,urbain,CTP,0.3,38
P01086,Ziguinchor,rural,public,0.55,43
P01087,Dakar,urbain,CTP,0.05,17
P01088,Ziguinchor,rural,CTP,0.55,15
P01089,Thiès,urbain,CTP,0.15,30
P01090,Kaffrine,rural,CTP,0.55,37
P01091,Fatick,rural,public,0.4,61
P01092,Dakar,rural,CTP,0.05,41
P01093,Dakar,rural,CTP,0.05,46
P01094,Dakar,urbain,public,0.05,56
P01095,Dakar,urbain,CTP,0.05,34
P01096,Kaolack,rural,CTP,0.3,33
P01097,Dakar,urbain,CTP,0.05,54
P01098,Thiès,urbain,prive,0.15,44
P01099,Matam,rural,public,0.65,44
P01100,Dakar,urbain,CTP,0.05,26
P01101,Louga,rural,public,0.45,40
P01102,Diourbel,urbain,prive,0.3,87
P01103,Thiès,urbain,public,0.15,87
P01104,Kaffrine,urbain,prive,0.55,75
P01105,Kaolack,urbain,CTP,0.3,27
P01106,Tambacounda,rural,CTP,0.75,30
P01107,Kaolack,rural,CTP,0.3,30
P01108,Louga,rural,public,0.45,90
P01109,Kaffrine,rural,CTP,0.55,22
P01110,Kaolack,rural,prive,0.3,39
P01111,Kolda,rural,CTP,0.7,36
P01112,Dakar,urbain,prive,0.05,73
P01113,Matam,urbain,CTP,0.65,45
P01114,Saint-Louis,urbain,public,0.35,59
P01115,Dakar,urbain,CTP,0.05,77
P01116,Kaolack,rural,CTP,0.3,37
P01117,Kaffrine,rural,CTP,0.55,41
P01118,Ziguinchor,urbain,prive,0.55,45
P01119,Fatick,rural,public,0.4,126
P01120,Thiès,urbain,prive,0.15,61
P01121,Matam,rural,CTP,0.65,35
P01122,Louga,urbain,public,0.45,58
P01123,Louga,rural,CTP,0.45,33
P01124,Dakar,rural,public,0.05,80
P01125,Tambacounda,rural,CTP,0.75,38
P01126,Diourbel,rural,public,0.3,101
P01127,Thiès,urbain,CTP,0.15,58
P01128,Louga,rural,prive,0.45,49
P01129,Thiès,rural,CTP,0.15,34
P01130,Fatick,rural,CTP,0.4,17
P01131,Dakar,rural,public,0.05,66
P01132,Kolda,rural,CTP,0.7,47
P01133,Kaffrine,rural,CTP,0.55,28
P01134,Dakar,rural,public,0.05,40
P01135,Sédhiou,rural,public,0.7,105
P01136,Matam,rural,CTP,0.65,40
P01137,Diourbel,rural,CTP,0.3,76
P01138,Thiès,urbain,prive,0.15,57
P01139,Louga,urbain,public,0.45,102
P01140,Kaffrine,urbain,public,0.55,139
P01141,Ziguinchor,urbain,public,0.55,100
P01142,Kaolack,urbain,CTP,0.3,28
P01143,Matam,rural,public,0.65,141
P01144,Matam,rural,CTP,0.65,56
P01145,Dakar,urbain,CTP,0.05,35
P01146,Saint-Louis,urbain,prive,0.35,97
P01147,Thiès,urbain,CTP,0.15,28
P01148,Tambacounda,rural,CTP,0.75,35
P01149,Kaolack,rural,public,0.3,88
P01150,Sédhiou,rural,public,0.7,71
P01151,Kolda,rural,CTP,0.7,38
P01152,Sédhiou,urbain,CTP,0.7,25
P01153,Sédhiou,rural,public,0.7,62
P01154,Dakar,rural,public,0.05,85
P01155,Thiès,rural,public,0.15,77
P01156,Fatick,rural,CTP,0.4,30
P01157,Diourbel,urbain,public,0.3,34
P01158,Thiès,urbain,CTP,0.15,21
P01159,Louga,urbain,CTP,0.45,33
P01160,Thiès,urbain,public,0.15,57
P01161,Thiès,rural,public,0.15,111
P01162,Fatick,rural,CTP,0.4,60
P01163,Matam,urbain,public,0.65,67
P01164,Saint-Louis,urbain,CTP,0.35,44
P01165,Fatick,urbain,CTP,0.4,73
P01166,Diourbel,rural,CTP,0.3,46
P01167,Fatick,rural,public,0.4,42
P01168,Kaolack,urbain,CTP,0.3,31
P01169,Thiès,urbain,CTP,0.15,36
P01170,Dakar,urbain,prive,0.05,89
P01171,Kaffrine,urbain,CTP,0.55,62
P01172,Diourbel,urbain,prive,0.3,63
P01173,Kaffrine,rural,CTP,0.55,50
P01174,Thiès,rural,CTP,0.15,42
P01175,Fatick,rural,public,0.4,74
P01176,Thiès,urbain,public,0.15,57
P01177,Louga,urbain,prive,0.45,51
P01178,Dakar,rural,public,0.05,41
P01179,Fatick,rural,CTP,0.4,49
P01180,Sédhiou,rural,CTP,0.7,61
P01181,Louga,urbain,prive,0.45,66
P01182,Saint-Louis,urbain,prive,0.35,104
P01183,Tambacounda,rural,CTP,0.75,33
P01184,Dakar,urbain,CTP,0.05,33
P01185,Kaolack,rural,public,0.3,24
P01186,Kaolack,urbain,CTP,0.3,30
P01187,Kédougou,urbain,public,0.9,96
P01188,Kaolack,urbain,CTP,0.3,30
P01189,Fatick,urbain,prive,0.4,44
P01190,Dakar,urbain,CTP,0.05,35
P01191,Thiès,urbain,prive,0.15,37
P01192,Tambacounda,rural,prive,0.75,12
P01193,Dakar,rural,CTP,0.05,16
P01194,Diourbel,urbain,CTP,0.3,41
P01195,Kolda,urbain,public,0.7,56
P01196,Thiès,urbain,prive,0.15,45
P01197,Saint-Louis,rural,CTP,0.35,43
P01198,Dakar,urbain,public,0.05,34
P01199,Dakar,urbain,public,0.05,76
P01200,Louga,rural,CTP,0.45,37
P01201,Kaffrine,rural,CTP,0.55,44
P01202,Kaffrine,rural,public,0.55,82
P01203,Kaffrine,rural,public,0.55,74
P01204,Kolda,rural,CTP,0.7,99
P01205,Kaolack,urbain,CTP,0.3,52
P01206,Thiès,rural,public,0.15,69
P01207,Kaffrine,urbain,public,0.55,45
P01208,Fatick,rural,public,0.4,101
P01209,Dakar,rural,public,0.05,87
P01210,Kolda,rural,public,0.7,118
P01211,Kaolack,rural,CTP,0.3,28
P01212,Saint-Louis,rural,public,0.35,95
P01213,Saint-Louis,urbain,public,0.35,27
P01214,Dakar,rural,public,0.05,93
P01215,Fatick,rural,public,0.4,88
P01216,Kaolack,urbain,CTP,0.3,78
P01217,Matam,urbain,public,0.65,50
P01218,Dakar,rural,prive,0.05,63
P01219,Dakar,rural,CTP,0.05,96
P01220,Dakar,urbain,CTP,0.05,56
P01221,Tambacounda,rural,public,0.75,116
P01222,Dakar,urbain,prive,0.05,49
P01223,Kaolack,rural,CTP,0.3,28
P01224,Kaffrine,rural,public,0.55,54
P01225,Dakar,rural,CTP,0.05,44
P01226,Sédhiou,rural,CTP,0.7,29
P01227,Kédougou,rural,public,0.9,43
P01228,Dakar,urbain,public,0.05,79
P01229,Kolda,rural,public,0.7,58
P01230,Kaolack,urbain,prive,0.3,105
P01231,Saint-Louis,rural,public,0.35,93
P01232,Thiès,urbain,CTP,0.15,51
P01233,Ziguinchor,rural,CTP,0.55,26
P01234,Dakar,urbain,public,0.05,54
P01235,Dakar,urbain,prive,0.05,50
P01236,Dakar,urbain,CTP,0.05,45
P01237,Fatick,rural,public,0.4,103
P01238,Dakar,urbain,public,0.05,79
P01239,Dakar,urbain,public,0.05,79
P01240,Thiès,urbain,prive,0.15,89
P01241,Ziguinchor,urbain,CTP,0.55,32
P01242,Tambacounda,rural,public,0.75,43
P01243,Fatick,rural,CTP,0.4,23
P01244,Diourbel,rural,CTP,0.3,28
P01245,Dakar,urbain,CTP,0.05,40
P01246,Kaolack,urbain,public,0.3,88
P01247,Ziguinchor,urbain,public,0.55,34
P01248,Diourbel,urbain,prive,0.3,64
P01249,Dakar,urbain,CTP,0.05,30
P01250,Diourbel,rural,CTP,0.3,58
P01251,Dakar,urbain,CTP,0.05,47
P01252,Dakar,urbain,prive,0.05,66
P01253,Dakar,urbain,prive,0.05,44
P01254,Diourbel,rural,CTP,0.3,51
P01255,Sédhiou,urbain,public,0.7,53
P01256,Dakar,urbain,public,0.05,73
P01257,Dakar,rural,CTP,0.05,55
